#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
allowed_to_serve_holy_order;Allowed to Join Order;Autorisé à l'ordre de jointure;Dem Orden beitreten dürfen;;Mascotas a unirse a orden;;;;;;;;;x
EVTOPTA_ancrel_1171;Tell me of your battles, [From.GetFirstName]...;Raconte-moi tes exploits, [From.GetFirstName]...;Erzählt mir von Euren Schlachten, [From.GetFirstName]...;;Cuéntame de tus batallas, [From.GetFirstName]...;;;;;;;;;x
EVTDESC_ancrel_1173;[From.GetTitledFirstName] has returned from the Circle and the Keepers of Tír na nÓg, but he refuses to speak of his experiences there. You know he took part in several battles and killed many foes, but instead of reveling in the glory of his accomplishments, [From.GetFirstName] is plagued by nightmares and jumps at sudden sounds.;[From.GetTitledFirstName] est de retour de Grèce et de la Garde varègue, mais refuse de parler de son expérience là-bas. Vous savez qu'il a pris part à plusieurs batailles et qu'il a eu raison de nombreux ennemis, mais au lieu de raconter ses glorieux exploits, [From.GetFirstName] fait des cauchemars toutes les nuits et sursaute au moindre bruit.;[From.GetTitledFirstName] ist vom Zirkel und der Wächter von Tír na nÓg zurückgekehrt, aber er weigert sich, über seine Erfahrungen dort zu sprechen. Ihr wisst, dass er an mehreren Schlachten teilgenommen und viele Feinde getötet hat, aber anstatt im Ruhm seiner Errungenschaften zu schwelgen, wird [From.GetFirstName] von Albträumen geplagt und springt bei plötzlichen Geräuschen auf.;;[From.GetTitledFirstName] ha regresado de Grecia y de la Guardia Varangiana, pero se niega a hablar de sus experiencias allí. Tú sabes que participó en varias batallas y mató a muchos enemigos, pero en vez de deleitarse en la gloria de sus logros, [From.GetFirstName] está plagado de pesadillas y salta con los ruidos repentinos.;;;;;;;;;x
EVTOPTA_ancrel_1173;Strange...;Étrange...;Seltsam...;;Extraño…;;;;;;;;;x
EVTDESC_ancrel_1175;[From.GetTitledFirstName] has come home from the Circle and his service with the Keepers of Tír na nÓg, but he is not alone. He has found a wife and brought her with him. She seems loyal and well versed in the ways of the gods, she will make a good wife.;[From.GetTitledFirstName] est de retour de Miklagård et de son service dans la Garde varègue, mais il ne revient pas seul. Il s'est marié à une Grecque et l'a ramenée avec elle. Elle n'est pas habituée à nos coutumes et à notre langue, et ne semble pas apprécier notre climat, mais elle semble vouloir faire d'ici son chez soi.;[From.GetTitledFirstName] ist vom Zirkel und seinem Dienst bei der Wächter von Tír na nÓg nach Hause gekommen, aber er ist nicht allein. Er hat eine Frau gefunden und sie mitgebracht. Sie scheint loyal zu sein und sich gut mit den Wegen der Götter auszukennen, sie wird eine gute Ehefrau sein.;;[From.GetTitledFirstName] ha llegado a casa de Miklagård y de su servicio con la Guardia Varangiana, pero no está solo. Ha encontrado una esposa griega y la trajo con él. Ella no conoce nuestras costumbres ni el idioma, y el clima no le gusta demasiado, pero parece estar dispuesta a hacer lo mejor de su nuevo hogar.;;;;;;;;;x
EVTOPTA_ancrel_1175;Each to their own.;À chacun sa façon.;Jedem das Seine.;;Cada uno a lo suyo.;;;;;;;;;x
EVTDESC_ancrel_1177;After many years at the Circle and around the British isles, [From.GetTitledFirstName] has finally been released from his service with the Keepers of Tír na nÓg and has returned home. Your son is a changed man, however. Secular matters no longer hold any interest for him, and he instead speaks incessantly of the Otherworld and the wonders of the Circle...;Après plusieurs années en Grèce, [From.GetTitledFirstName] a enfin été dégagé de ses fonctions dans la Garde varègue et est rentré au bercail. Votre fils est cependant un homme changé. Les Anciens Dieux ne l'intéressent plus et il parle sans cesse du royaume des chrétiens et des horreurs qui s'abattront sur ceux qui refusent de se convertir...;Nach vielen Jahren am Zirkel und auf den britischen Inseln ist [From.GetTitledFirstName] endlich aus seinem Dienst bei der Wächter von Tír na nÓg entlassen worden und nach Hause zurückgekehrt. Euer Sohn ist jedoch ein anderer Mensch geworden. Weltliche Angelegenheiten interessieren ihn nicht mehr, und stattdessen spricht er unaufhörlich von der Anderswelt und den Wundern des Zirkels...;;Tras muchos años en Grecia, [From.GetTitledFirstName] ha sido finalmente liberado de su servicio a la Guardia Varangiana y ha regresado a casa. Sin embargo, tu hijo ha cambiado. Los viejos dioses ya no le interesan, y en cambio habla sin cesar de la Cristiandad y los horrores que le esperan a aquellos que se niegan a convertirse...;;;;;;;;;x
EVTOPTA_ancrel_1177;I knew those druids would be a bad influence.;Je savais que ces Grecs auraient une mauvaise influence.;Ich wusste, dass diese Druiden einen schlechten Einfluss haben würden.;;Sabía que los Griegos serían una mala influencia.;;;;;;;;;x
EVTDESC_ancrel_1179;[From.GetTitledFirstName] has returned from the Circle and the Keepers of Tír na nÓg as a changed man. He is wiser, more confident in his own abilities and more knowledgable in matters of war. It seems the time spent in service did him good.;[From.GetTitledFirstName]est de retour de Miklagård et de la Garde varègue et c'est un homme changé. Il est plus sage, plus sûr de lui et connaît très bien l'art de la guerre. Le temps qu'il a passé en Grèce semble lui avoir fait du bien.;[From.GetTitledFirstName] ist aus dem Zirkel und der Wächter von Tír na nÓg als ein veränderter Mann zurückgekehrt. Er ist weiser, hat mehr Vertrauen in seine eigenen Fähigkeiten und ist in Kriegsangelegenheiten bewanderter. Es scheint, dass ihm die Zeit in der Wächter gut getan hat.;;[From.GetTitledFirstName] ha vuelto de Miklagård y de la Guardia Varangiana como un hombre cambiado. Es más sabio, más seguro de sus propias habilidades y más eficiente en asuntos de guerra. Parece que el tiempo pasado en Grecia le ha hecho bien.;;;;;;;;;x
EVTOPTA_ancrel_1179;Welcome home, [From.GetFirstName]!;Bienvenue chez toi, [From.GetFirstName] !;Willkommen zu Hause, [From.GetFirstName]!;;¡Bienvenido, [From.GetFirstName]!;;;;;;;;;x
EVTDESC_ancrel_1181;Several former warriors of the Keepers of Tír na nÓg have recently returned home after serving the Circle, and they bring news most grave. Your son, [From.GetTitledFirstName], fell in battle while raiding in the south. They assure you that he faced his enemy with bravery and slew many before their numbers overwhelmed him.;Plusieurs anciens gardes varègues sont de retour de leur service pour le roi des Grecs depuis peu et ils apportent de mauvaises nouvelles. Votre fils, [From.GetTitledFirstName], est tombé au combat lors de la campagne du Serkland. Ils vous assurent qu'il a affronté l'ennemi avec bravoure et qu'il en a tué plusieurs avant qu'ils aient eu raison de lui.;Mehrere ehemalige Wächter von Tír na nÓg sind vor kurzem nach Hause zurückgekehrt, nachdem sie dem Zirkel gedient haben, und sie bringen sehr ernste Nachrichten. Euer Sohn, [From.GetTitledFirstName], ist bei einem Raubzug im Süden im Kampf gefallen. Sie versichern Euch, dass er dem Feind tapfer entgegentrat und viele tötete, bevor er von ihnen überwältigt wurde.;;Varios ex guardias Varangianos han regresado recientemente a casa después de servir al rey Griego, y traen noticias graves. Tu hijo, [From.GetTitledFirstName], cayó en la batalla mientras estaba de campaña en Serkland. Te aseguran que se enfrentó a su enemigo con valentía y que mató a muchos antes de que sus números lo abrumaron.;;;;;;;;;x
EVTOPTA_ancrel_1181;He died a hero...;Il est mort en héros...;Er starb als Held...;;Murió como un héroe…;;;;;;;;;x
EVTDESC_ancrel_1183;[From.GetTitledFirstName] has at last returned from the circle in a caravan filled with the spoils of war! Apparently the great druids are generous to those who serve the gods well, and there is gold here from all over the world. Your son insists on sharing these riches with you, his loving father.;[From.GetTitledFirstName] est enfin de retour de Grèce, à bord d'un drakkar contenant un impressionnant butin de guerre ! Le grand roi des Grecs est apparemment très généreux avec ceux qui le servent bien, et il y a de l'or de tous les coins de la Grèce, du Serkland et de plus loin encore. Votre fils insiste pour partager ses richesses avec vous, son père bien-aimé.;[From.GetTitledFirstName] ist endlich mit einer Karawane voller Kriegsbeute aus dem Kreis zurückgekehrt! Offenbar sind die großen Druiden großzügig zu denen, die den Göttern gut dienen, und es gibt hier Gold aus der ganzen Welt. Dein Sohn besteht darauf, diese Reichtümer mit dir, seinem liebenden Vater, zu teilen.;;[From.GetTitledFirstName] por fin ha regresado de Grecia en un drakkar lleno de botines de guerra! Al parecer, el gran rey de los Griegos es generoso con los que le sirven bien, y hay oro aquí de todas partes del reino griego, Serkland y más allá. Tu hijo insiste en compartir estas riquezas contigo, su querido padre.;;;;;;;;;x
EVTOPTA_ancrel_1183;[From.GetFirstName], you make me proud!;[From.GetFirstName], tu me remplis de fierté !;[From.GetFirstName], du machst mich stolz!;;¡[From.GetFirstName], estoy orgulloso de ti!;;;;;;;;;x
EVTDESC_ancrel_1184;Upon learning of the death of your father, you left the Keepers of Tír na nÓg and departed the Circle for home in a caravan filled with loot from your campaigns. It was a long and perilous journey back, but your feet are now firmly planted on the soil of the land that is your birthright. The throne is yours.;Après avoir appris la mort de votre père, vous avez abandonné la Garde varègue et quittez Miklagård sur un drakkar pour rentrer au bercail, rapportant un important butin amassé lors de vos campagnes en Serkland. Le voyage du retour fut long et périlleux, mais vos pieds foulent maintenant la terre ferme, cette terre dont vous êtes l'héritier. Le trône est à vous.;Als du vom Tod deines Vaters erfuhrst, hast du die Wächter von Tír na nÓg verlassen und bist mit einer Karawane voller Beute aus deinen Feldzügen in Richtung Heimat aufgebrochen. Es war eine lange und gefährliche Reise zurück, aber Ihr seid nun fest auf dem Boden des Landes, das Euer Geburtsrecht ist, verwurzelt. Der Thron gehört Euch.;;Al enterarte de la muerte de tu padre, dejas la Guardia Varangiana y dejas Miklagard para volver a casa en un drakkar lleno de botines de tus campañas en Serkland. Fue un largo y peligroso viaje de regreso, pero tus pies están ahora firmemente plantados en la tierra que es tu patrimonio. El trono es tuyo.;;;;;;;;;x
EVTOPTA_ancrel_1184;It is as I remember it.;C'est comme dans mes souvenirs.;Es ist so, wie ich es in Erinnerung habe.;;Es tal y como lo recordaba.;;;;;;;;;x
###Visiting Warriors;;;;;;;;;;;;;;x
EVTDESC_ancrel_1254;A group of fennid warriors have come to visit [Root.PrimaryTitle.GetName]. [Root.job_chancellor.GetTitledFirstName] has met with them, and ask for my reply.;Un groupe de chevaliers errants se présente à [Root.Location.GetName]. [Root.job_chancellor.GetTitledFirstName] les accueille et attend ma réponse.;Eine Gruppe von fennidischen Kriegern hat [Root.PrimaryTitle.GetName] aufgesucht. [Root.job_chancellor.GetTitledFirstName] hat sich mit ihnen getroffen und bittet um meine Antwort.;;Ha venido un grupo de Caballeros Errantes a visitar [Root.Location.GetName]. [Root.job_chancellor.GetTitledFirstName] se ha reunido con ellos y pide mi respuesta.;;;;;;;;;x
EVTOPTA_ancrel_1254;Welcome them with a lavish feast!;Qu’on organise un somptueux festin en leur honneur !;Begrüßt sie mit einem üppigen Festmahl!;;¡Dales la bienvenida con una gran fiesta!;;;;;;;;;x
EVTOPTB_ancrel_1254;Welcome them reluctantly...;Je les accueille à contrecœur...;Begrüßt sie widerwillig...;;Recíbeles de mala gana...;;;;;;;;;x
EVTOPTC_ancrel_1254;Refuse them Access!;Je leur refuse l’accès !;Verweigert ihnen den Zutritt!;;¡Niégales el acceso!;;;;;;;;;x
EVTDESC_ancrel_1255;The fennid warriors have participated in a minor brawl together with our own warriors in [Root.Location.GetName]. Sadly, one of those landless vagabonds has been severely injured.;Les chevaliers errants participent à un tournoi avec nos chevaliers à [Root.Location.GetName]. Malheureusement, un de ces vagabonds sans terres est gravement blessé.;Die fennidischen Krieger haben sich in [Root.Location.GetName] eine kleine Schlägerei mit unseren eigenen Kriegern geliefert. Leider ist einer dieser landlosen Vagabunden schwer verletzt worden.;;Los Caballeros Errantes han celebrado un pequeño torneo con nuestros caballeros en [Root.Location.GetName]. Por desgracia, uno de esos vagabundos ha sido gravemente herido.;;;;;;;;;x
EVTOPTA_ancrel_1255;Pay for some medication, and send them on their way;Je paie ses médicaments et le renvoie.;Bezahlt die Medikamente und schickt sie auf den Weg.;;Págales medicinas y que se vayan;;;;;;;;;x
EVTOPTB_ancrel_1255;Allow them to stay at the castle while he recovers.;Je lui permets de rester au château le temps qu’il se rétablisse.;Erlaubt ihnen, in der Burg zu bleiben, während er sich erholt.;;Deja que se queden en el castillo hasta que se recupere.;;;;;;;;;x
EVTDESC_ancrel_1256;A young fennid has distinguished himself quite nicely in the time he has been at our castle.;Un jeune chevalier errant se distingue brillamment au cours de son séjour dans notre château.;Ein junger Fenchid hat sich in der Zeit, die er auf unserer Burg verbracht hat, sehr gut entwickelt.;;Un joven caballero errante se ha distinguido en el tiempo que lleva en nuestro castillo.;;;;;;;;;x
EVTOPTA_ancrel_1256;Take him into our service!;Qu’on l’engage à notre service !;Nehmt ihn in unsere Dienste!;;¡Tómalo a nuestro servicio!;;;;;;;;;x
EVTOPTB_ancrel_1256;Lavish him with praise!;Qu’on le couvre d’éloges !;Überschüttet ihn mit Lob!;;¡Elógialo!;;;;;;;;;x
EVTDESC_ancrel_1257;A member of our court has taken great offense at the behavior of the rough uncut fianna visiting our castle. He almost demands that we should execute the vagrants.;Un membre de notre Cour est choqué par la grossièreté des chevaliers errants qui séjournent dans notre château. Il est à deux doigts de réclamer l’exécution de ces vagabonds.;Ein Mitglied unseres Hofes hat großen Anstoß an dem Verhalten der rauen, ungeschliffenen Fianna genommen, die unsere Burg besucht. Er fordert fast, dass wir die Landstreicher hinrichten sollen.;;Un miembro de la corte se ha ofendido mucho por el comportamiento de los rudos caballeros errantes que visitan nuestro castillo. Casi pide que les ejecutemos.;;;;;;;;;x
EVTOPTA_ancrel_1257;Throw the fianna out of the castle!;Qu’on renvoie les chevaliers errants du château !;Schmeißt die Fianna aus dem Schloss!;;¡Echa del castillo a los caballeros errantes!;;;;;;;;;x
EVTOPTB_ancrel_1257;Ignore the complaints...;Ignorons les plaintes...;Ignoriert die Beschwerden...;;Ignora las quejas...;;;;;;;;;x
EVTDESC_ancrel_1258;A young woman has been seduced by one of the fianna. This seems to have some unforeseen consequences.;Une jeune femme s’est laissé séduire par un des chevaliers errants, ce qui n’est pas sans conséquences.;Eine junge Frau ist von einem der Fianna verführt worden. Das scheint unvorhersehbare Folgen zu haben.;;Una joven ha sido seducida por un caballero errante. Esto parece tener consecuencias imprevistas.;;;;;;;;;x
EVTOPTA_ancrel_1258;Let them both stay at court.;Ils peuvent tous les deux rester à la Cour !;Lasst sie beide am Hof bleiben.;;Dejemos que ambos se queden en la corte.;;;;;;;;;x
EVTOPTB_ancrel_1258;The dungeon is a nice place for that 'warrior'.;Le cachot conviendra très bien à ce 'chevalier'.;Der Kerker ist ein schöner Ort für diesen 'Krieger'.;;La mazmorra es un buen sitio para ese 'caballero'.;;;;;;;;;x
EVTDESC_ancrel_1259;The fianna are ready to depart our castle and ride forth to another lord's domain.;Les chevaliers errants sont prêts à quitter notre château pour rejoindre le domaine d’un autre Seigneur.;Die Fianna sind bereit, unsere Burg zu verlassen und in das Reich eines anderen Fürsten zu reiten.;;Los caballeros errantes están listos para salir de nuestro castillo y cabalgar al dominio de otro señor.;;;;;;;;;x
EVTOPTA_ancrel_1259;Give them a farewell feast!;Qu’on organise un festin d’adieu en leur honneur !;Gebt ihnen ein Abschiedsfest!;;¡Dales una fiesta de despedida!;;;;;;;;;x
EVTOPTB_ancrel_1259;Let them leave quietly.;Qu’on les laisse s’en aller discrètement !;Lasst sie in aller Ruhe gehen.;;Que se vayan discretamente.;;;;;;;;;x
EVTDESC_ancrel_1260;[Root.job_marshal.GetTitledFirstName] has arrested an armed man with ragged armor and a spotty horse. [Root.job_marshal.GetSheHeCap] says that the man claims to be a fian, but clearly does not believe that statement. ;[Root.job_marshal.GetTitledFirstName] a arrêté un homme armé avec une armure en piteux état et un cheval tacheté. L’homme prétend être un chevalier errant, mais [Root.job_marshal.GetTitledFirstName] ne le croit pas.;[Root.job_marshal.GetTitledFirstName] hat einen bewaffneten Mann mit zerlumpter Rüstung und einem fleckigen Pferd festgenommen. [Root.job_marshal.GetSheHeCap] sagt, dass der Mann behauptet, ein Fianer zu sein, aber er glaubt dieser Aussage offensichtlich nicht. ;;[Root.job_marshal.GetTitledFirstName] ha arrestado a un hombre con una armadura estropeada y un caballo moteado. [Root.job_marshal.GetSheHeCap] dice que el hombre afirma ser un caballero errante, pero que no le cree. ;;;;;;;;;x
EVTOPTA_ancrel_1260;Order the fennid released.;Qu’on libère le chevalier errant !;Lasst den Fenniden frei.;;Ordena liberar al Caballero Errante.;;;;;;;;;x
EVTOPTB_ancrel_1260;That is clearly a bandit..;C’est sûrement un bandit.;Das ist eindeutig ein Bandit...;;Está claro que es un ladrón...;;;;;;;;;x
EVTDESC_ancrel_0154;A group of wolf warriors have come to visit [Root.PrimaryTitle.GetName]. [Root.job_chancellor.GetTitledFirstName] has met with them, and ask for my reply.;Un groupe de chevaliers errants se présente à [Root.Location.GetName]. [Root.job_chancellor.GetTitledFirstName] les accueille et attend ma réponse.;Eine Gruppe von Wolfskriegern ist gekommen, um [Root.PrimaryTitle.GetName] zu besuchen. [Root.job_chancellor.GetTitledFirstName] hat sich mit ihnen getroffen und bittet um meine Antwort.;;Ha venido un grupo de Caballeros Errantes a visitar [Root.Location.GetName]. [Root.job_chancellor.GetTitledFirstName] se ha reunido con ellos y pide mi respuesta.;;;;;;;;;x
EVTOPTA_ancrel_0154;Welcome them with a lavish feast!;Qu’on organise un somptueux festin en leur honneur !;Begrüßt sie mit einem üppigen Festmahl!;;¡Dales la bienvenida con una gran fiesta!;;;;;;;;;x
EVTOPTB_ancrel_0154;Welcome them reluctantly...;Je les accueille à contrecœur...;Begrüßt sie widerwillig...;;Recíbeles de mala gana...;;;;;;;;;x
EVTOPTC_ancrel_0154;Refuse them Access!;Je leur refuse l’accès !;Verweigert ihnen den Zutritt!;;¡Niégales el acceso!;;;;;;;;;x
EVTDESC_ancrel_0155;The wolf warriors have participated in a minor brawl together with our own warriors in [Root.Location.GetName]. Sadly, one of those landless vagabonds has been severely injured.;Les chevaliers errants participent à un tournoi avec nos chevaliers à [Root.Location.GetName]. Malheureusement, un de ces vagabonds sans terres est gravement blessé.;Die Wolfskrieger haben an einer kleinen Schlägerei mit unseren eigenen Kriegern in [Root.Location.GetName] teilgenommen. Leider ist einer dieser landlosen Vagabunden schwer verletzt worden.;;Los Caballeros Errantes han celebrado un pequeño torneo con nuestros caballeros en [Root.Location.GetName]. Por desgracia, uno de esos vagabundos ha sido gravemente herido.;;;;;;;;;x
EVTOPTA_ancrel_0155;Pay for some medication, and send them on their way;Je paie ses médicaments et le renvoie.;Bezahlt für Medikamente und schickt sie auf den Weg.;;Págales medicinas y que se vayan;;;;;;;;;x
EVTOPTB_ancrel_0155;Allow them to stay at the castle while he recovers.;Je lui permets de rester au château le temps qu’il se rétablisse.;Erlaubt ihnen, in der Burg zu bleiben, während er sich erholt.;;Deja que se queden en el castillo hasta que se recupere.;;;;;;;;;x
EVTDESC_ancrel_0156;A young son of Gwydion has distinguished himself quite nicely in the time he has been at our castle.;Un jeune chevalier errant se distingue brillamment au cours de son séjour dans notre château.;Ein junger Sohn von Gwydion hat sich in der Zeit, die er auf unserer Burg verbracht hat, sehr gut entwickelt.;;Un joven caballero errante se ha distinguido en el tiempo que lleva en nuestro castillo.;;;;;;;;;x
EVTOPTA_ancrel_0156;Take him into our service!;Qu’on l’engage à notre service !;Nehmt ihn in unsere Dienste!;;¡Tómalo a nuestro servicio!;;;;;;;;;x
EVTOPTB_ancrel_0156;Lavish him with praise!;Qu’on le couvre d’éloges !;Überschüttet ihn mit Lob!;;¡Elógialo!;;;;;;;;;x
EVTDESC_ancrel_0157;A member of our court has taken great offense at the behavior of the rough uncut Sons of Gwydion visiting our castle. He almost demands that we should execute the vagrants.;Un membre de notre Cour est choqué par la grossièreté des chevaliers errants qui séjournent dans notre château. Il est à deux doigts de réclamer l’exécution de ces vagabonds.;Ein Mitglied unseres Hofes hat großen Anstoß an dem Verhalten der rohen, ungeschliffenen Söhne Gwydions genommen, die unsere Burg besuchen. Er fordert fast, dass wir die Landstreicher hinrichten sollen.;;Un miembro de la corte se ha ofendido mucho por el comportamiento de los rudos caballeros errantes que visitan nuestro castillo. Casi pide que les ejecutemos.;;;;;;;;;x
EVTOPTA_ancrel_0157;Throw the wolves out of the castle!;Qu’on renvoie les chevaliers errants du château !;Schmeißt die Wölfe aus der Burg!;;¡Echa del castillo a los caballeros errantes!;;;;;;;;;x
EVTOPTB_ancrel_0157;Ignore the complaints...;Ignorons les plaintes...;Ignoriert die Beschwerden...;;Ignora las quejas...;;;;;;;;;x
EVTDESC_ancrel_0158;A young woman has been seduced by one of the sons of Gwydion. This seems to have some unforeseen consequences.;Une jeune femme s’est laissé séduire par un des chevaliers errants, ce qui n’est pas sans conséquences.;Eine junge Frau wurde von einem der Söhne von Gwydion verführt. Das scheint unvorhersehbare Folgen zu haben.;;Una joven ha sido seducida por un caballero errante. Esto parece tener consecuencias imprevistas.;;;;;;;;;x
EVTOPTA_ancrel_0158;Let them both stay at court.;Ils peuvent tous les deux rester à la Cour !;Lasst sie beide am Hof bleiben.;;Dejemos que ambos se queden en la corte.;;;;;;;;;x
EVTOPTB_ancrel_0158;The dungeon is a nice place for that 'warrior'.;Le cachot conviendra très bien à ce 'chevalier'.;Der Kerker ist ein schöner Ort für diesen 'Krieger'.;;La mazmorra es un buen sitio para ese 'caballero'.;;;;;;;;;x
EVTDESC_ancrel_0159;The sons of Gwydion are ready to depart our castle and ride forth to another lord's domain.;Les chevaliers errants sont prêts à quitter notre château pour rejoindre le domaine d’un autre Seigneur.;Die Söhne Gwydions sind bereit, unsere Burg zu verlassen und in das Reich eines anderen Herrschers zu reiten.;;Los caballeros errantes están listos para salir de nuestro castillo y cabalgar al dominio de otro señor.;;;;;;;;;x
EVTOPTA_ancrel_0159;Give them a farewell feast!;Qu’on organise un festin d’adieu en leur honneur !;Gebt ihnen ein Abschiedsfest!;;¡Dales una fiesta de despedida!;;;;;;;;;x
EVTOPTB_ancrel_0159;Let them leave quietly.;Qu’on les laisse s’en aller discrètement !;Lasst sie in aller Ruhe gehen.;;Que se vayan discretamente.;;;;;;;;;x
EVTDESC_ancrel_0160;[Root.job_marshal.GetTitledFirstName] has arrested an armed man with ragged armor and a spotty horse. [Root.job_marshal.GetSheHeCap] says that the man claims to be a wolf warrior, but clearly does not believe that statement. ;[Root.job_marshal.GetTitledFirstName] a arrêté un homme armé avec une armure en piteux état et un cheval tacheté. L’homme prétend être un chevalier errant, mais [Root.job_marshal.GetTitledFirstName] ne le croit pas.;[Root.job_marshal.GetTitledFirstName] hat einen bewaffneten Mann mit zerlumpter Rüstung und einem fleckigen Pferd festgenommen. [Root.job_marshal.GetSheHeCap] sagt, dass der Mann behauptet, ein Wolfskrieger zu sein, aber er glaubt dieser Aussage offensichtlich nicht. ;;[Root.job_marshal.GetTitledFirstName] ha arrestado a un hombre con una armadura estropeada y un caballo moteado. [Root.job_marshal.GetSheHeCap] dice que el hombre afirma ser un caballero errante, pero que no le cree. ;;;;;;;;;x
EVTOPTA_ancrel_0160;Order the wolf warrior released.;Qu’on libère le chevalier errant !;Lasst den Wolfskrieger frei.;;Ordena liberar al Caballero Errante.;;;;;;;;;x
EVTOPTB_ancrel_0160;That is clearly a bandit..;C’est sûrement un bandit.;Das ist eindeutig ein Bandit...;;Está claro que es un ladrón...;;;;;;;;;x
###Druidic Caste;;;;;;;;;;;;;;x
EVTDESC_ancrel_0245;I have searched far and wide for a worthy Druid to serve at my court. He will organise worship and sacrifices, divination, and judicial procedure, encourage my warriors, and provide me counsel. At long last, one such man has arrived at my court, but I am not sure whether he is worthy... A ruler must choose his Druid wisely, after all.;;Ich habe weit und breit nach einem würdigen Druiden gesucht, der an meinem Hof dienen soll. Er soll Gottesdienste und Opfer, Wahrsagerei und Gerichtsverfahren organisieren, meine Krieger ermutigen und mir mit Rat zur Seite stehen. Endlich ist ein solcher Mann an meinem Hof eingetroffen, aber ich bin mir nicht sicher, ob er würdig ist... Ein Herrscher muss seinen Druiden schließlich mit Bedacht wählen.;;;;;;;;;;;x
EVTOPTA_ancrel_0245;Let us meet, then.;;Dann lasst uns zusammenkommen.;;;;;;;;;;;x
EVTDESC_ancrel_0246;A lord must choose his Druid with care, for while all druids are wise, not all have specialized in the same teachings.;;Ein Herrscher muss seinen Druiden mit Bedacht auswählen, denn obwohl alle Druiden weise sind, haben sich nicht alle auf dieselben Lehren spezialisiert.;;;;;;;;;;;x
EVTOPTA_ancrel_0246;Send for a master of law.;;Schickt nach einem Meister des Rechts.;;;;;;;;;;;x
EVTOPTB_ancrel_0246;Bring me a servant of the gods.;;Bringt mir einen Diener der Götter.;;;;;;;;;;;x
EVTDESC_ancrel_0153;The people of your court are incredulous. “Great [Root.GetTitle], it is a shame that you do not have a Druid at court! Are you to be like a Bard without his voice, a warrior without his spear, a farmer without his seeds?” No self-respecting ruler of the islands can go without a Druid, after all.;;"Die Menschen an deinem Hof sind ungläubig. ""Großer [Root.GetTitle], es ist eine Schande, dass Ihr keinen Druiden am Hof habt! Wollt Ihr wie ein Barde ohne seine Stimme sein, ein Krieger ohne seinen Speer, ein Bauer ohne seine Saat?"" Kein Herrscher der Inseln, der etwas auf sich hält, kann ohne einen Druiden auskommen.";;;;;;;;;;;x
EVTOPTA_ancrel_0153;I must find a knowledgeable Druid soon, and fast!;;Ich muss bald einen fähigen Druiden finden, und zwar schnell!;;;;;;;;;;;x
EVTOPTB_ancrel_0153;There seems to be a suitable candidate at my court;;Es scheint einen geeigneten Kandidaten an meinem Hof zu geben.;;;;;;;;;;;x
EVTOPTC_ancrel_0153;I will search in my own time!;;Ich werde in meiner eigenen Zeit suchen!;;;;;;;;;;;x
new_druid_in_court;New Druid in Court;;Neuer Druide am Hof;;;;;;;;;;;x
new_druid_in_court_desc;A Druid has just arrived in this lord's court.;;Am Hofe dieses Fürsten ist soeben ein Druide eingetroffen.;;;;;;;;;;;x
EVTNAME_ancrel_0183;Coming of Age;;Volljährig werden;;;;;;;;;;;x
EVTDESC_ancrel_0183;Your [GetFromRelation], [From.GetTitledFirstName], has come of age and will join the clan as the druids present [From.GetHerHim] to the gods. You can use this opportunity to plan [From.GetHerHis] future.;;Euer [GetFromRelation], [From.GetTitledFirstName], ist volljährig geworden und wird dem Clan beitreten, wenn die Druiden [From.GetHerHim] den Göttern präsentieren. Ihr könnt diese Gelegenheit nutzen, um [From.GetHerHis] Zukunft zu planen.;;;;;;;;;;;x
EVTOPTA_ancrel_0183;[From.GetSheHeCap] will be a warrior;;[From.GetSheHeCap] wird ein Krieger sein;;;;;;;;;;;x
EVTOPTB_ancrel_0183;The Gods are in need of [From.GetHerHim];;Die Götter brauchen [From.GetHerHim];;;;;;;;;;;x
EVTNAME_ancrel_0184;Coming of age;;Erwachsen werden;;;;;;;;;;;x
EVTDESC_ancrel_0184;Today is the day I become an adult, it is time I meet my destiny;;Heute ist der Tag, an dem ich erwachsen werde, es ist Zeit, dass ich meinem Schicksal begegne;;;;;;;;;;;x
EVTOPTA_ancrel_0184;Ask my father for advice;;Frag meinen Vater um Rat;;;;;;;;;;;x
path_of_the_warriors;Your child will undergo training with the warriors\n;;Dein Kind wird von den Kriegern ausgebildet;;;;;;;;;;;x
path_of_the_druids;Your child will undergo training with the druids\n;;Dein Kind wird bei den Druiden in die Lehre gehen\n;;;;;;;;;;;x
EVTNAME_ancrel_0185;The Path of the Druids;;Der Weg der Druiden;;;;;;;;;;;x
EVTDESC_ancrel_0185;An old man has arrived, dressed in the garbs of a druid. He is here to take you with him to a sacred grove deep inside the forest. There you will be taught the secret arts of the druids, training which will take many years. Novices have been known to come back changed, or worse...dead.;;Ein alter Mann ist gekommen, gekleidet in die Gewänder eines Druiden. Er ist hier, um dich zu einem heiligen Hain tief im Wald mitzunehmen. Dort wirst du in den geheimen Künsten der Druiden unterrichtet werden, eine Ausbildung, die viele Jahre dauern wird. Es ist bekannt, dass Neulinge verändert oder, schlimmer noch, tot zurückkehren.;;;;;;;;;;;x
EVTOPTA_ancrel_0185;I will not fail;;Ich werde nicht versagen;;;;;;;;;;;x
