#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
# base_birth_events.txt
EVTOPTD301;Isn't [From.GetSheHe] adorable?;;Ist [From.GetSheHe] nicht hinreißend?;;;x
EVTDESC_SoA_101;The First Temple, built by King Solomon, was destroyed by the invading Babylonians. The Second Temple, built under the auspices of Cyrus the Great of Persia, was razed by the Romans after a terrible siege. The Third Temple, however, built by the great [Root.GetTitledFirstName], shall stand for all eternity!\n\nFrom its position on Temple Mount, the magnificent building has become a dominant feature of Jerusalem, instantly recognizable from far away by travelers approaching the city. [new_kohen_gadol.GetTitledName] has assumed [new_kohen_gadol.GetHerHis] position as the first Kohen Gadol is the Second Temple's destruction, leading a rebuilding of the Jewish priesthood who can now be seen throughout Jerusalem on a daily basis. Truly, Solomon himself would have been moved to tears by the sight.;;Der von König Salomo erbaute Erste Tempel wurde von den eindringenden Babyloniern zerstört. Der Zweite Tempel, der unter der Schirmherrschaft von Kyros dem Großen von Persien erbaut wurde, wurde nach einer schrecklichen Belagerung von den Römern niedergerissen. Der Dritte Tempel jedoch, der vom großen [Root.GetTitledFirstName] erbaut wurde, soll für alle Ewigkeit bestehen bleiben!\n\nDurch seine Lage auf dem Tempelberg ist das prächtige Gebäude zu einer Dominante Jerusalems geworden, die Reisende, die sich der Stadt nähern, schon von weitem erkennen können. [new_kohen_gadol.GetTitledName] hat [new_kohen_gadol.GetHerHis] Position als erster Kohen Gadol seit der Zerstörung des Zweiten Tempels übernommen und führt einen Wiederaufbau der jüdischen Priesterschaft an, die nun täglich in ganz Jerusalem zu sehen ist. Wahrlich, Salomo selbst wäre bei diesem Anblick zu Tränen gerührt gewesen.;;;x
EVTOPTA_SoA_504;Next year in Jerusalem!;;Nächstes Jahr in Jerusalem!;;;x
EVTOPTB_SoA_504;Once more in Jerusalem!;;Noch einmal in Jerusalem!;;;x
EVTDESC_SoA_590;There has not been a Kohen Gadol - a High Priest of Judaism - since the Romans destroyed the Second Temple roughly a thousand years ago. At long last, this position has been filled and the High Priesthood reconstituted.\n\nThe Samaritans have held the tradition of a Kohen Gadol steadfast, despite their exile from the Holy Land and so the Kohen Gadol himself now returns to where he belongs.;;Seit der Zerstörung des Zweiten Tempels durch die Römer vor rund tausend Jahren hat es keinen Kohen Gadol - einen Hohenpriester des Judentums - mehr gegeben. Endlich wurde dieses Amt neu besetzt und das Hohepriestertum wiederhergestellt.\n\nDie Samariter haben die Tradition eines Kohen Gadol trotz ihres Exils aus dem Heiligen Land aufrecht erhalten, und so kehrt der Kohen Gadol nun selbst dorthin zurück, wo er hingehört.;;;x
# soa_holy_order_events.txt
EVTDESC_SOA_1051;Most righteous [Root.GetTitledFirstNameNoRegnal],\nThe [target_holy_order.GetFullName] needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName], to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay [Root.Religion.GetHighGodName] be with you,\n[From.PrimaryTitle.GetRulerTitle] [From.GetFirstName];;Gerechter [Root.GetTitledFirstNameNoRegnal],\nDer [target_holy_order.GetFullName] braucht mehr Burgen, um Truppen auszubilden und ein unterstützendes Einkommen zu erzielen. Mir ist zu Ohren gekommen, dass es in Eurem Herrschaftsgebiet einen geeigneten Standort gibt - in [target_province.GetName], um genau zu sein. Ich bin bereit, Euch 100 Gold für das Recht zu zahlen, dort eine Festung zu errichten. Möge [Root.Religion.GetHighGodName] mit Euch sein,\n[From.PrimaryTitle.GetRulerTitle] [From.GetFirstName];;;x
EVTDESC_SOA_1031A;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the [join_holy_order.GetName] in their struggle against the infidels, even though this will forever disinherit him.;;Mein [GetFromRelation], [From.GetTitledFirstName], hat darum gebeten, sich dem [join_holy_order.GetName] in ihrem Kampf gegen die Ungläubigen anzuschließen, auch wenn ihn das für immer enterben wird.;;;x
EVTDESC_SOA_1031B;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the [join_holy_order.GetName] in their struggle against the infidels. It is a dangerous adventure he seeks, but he appears determined.;;Mein [GetFromRelation], [From.GetTitledFirstName], hat darum gebeten, sich dem [join_holy_order.GetName] in ihrem Kampf gegen die Ungläubigen anzuschließen. Es ist ein gefährliches Abenteuer, das er sucht, aber er scheint entschlossen.;;;x
EVTDESC_SOA_1209;Harkening back to the early days of Islam, the Ansar have adopted the name given to Muhammad's first allies in Medina, who helped the Prophet's companions in the war against the Quraysh. Like the original Ansar, the new holy warriors will assist the leaders of orthodox Islam in spreading the religion of God, by sword if need be.;;In Anlehnung an die Anfänge des Islam haben die Ansar den Namen von Mohammeds ersten Verbündeten in Medina angenommen, die den Gefährten des Propheten im Krieg gegen die Quraisch halfen. Wie die ursprünglichen Ansar werden die neuen heiligen Krieger die Führer des orthodoxen Islam bei der Verbreitung der Religion Gottes unterstützen, notfalls mit dem Schwert.;;;x
EVTOPTB_SOA_1209;More fanatics for our blades!;;Mehr Fanatiker für unsere Klingen!;;;x
EVTDESC_SOA_1211;Most righteous [Root.GetTitledFirstName], of course we, the Ansar, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Salaam alaykum,\n\nGrand Master [From.GetFirstName];;Gerechter [Root.GetTitledFirstName], natürlich können wir, die Ansar, euch 300 Gold leihen. Alles, was wir im Gegenzug verlangen, ist eure zukünftige Unterstützung in bestimmten Angelegenheiten, die sich ergeben könnten. Salaam alaykum,\n\nGroßmeister [From.GetFirstName];;;x
EVTDESC_SOA_1224;The Ansar have constructed a castle in [Root.GetName]!;;Die Ansar haben eine Burg in [Root.GetName] errichtet!;;;x
EVTDESC_SOA_1231;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Ansar to fight the infidel! This will forever disinherit him and he will never disgrace the dynasty with his decadence.;;Mein [GetFromRelation], [From.GetTitledFirstName], hat darum gebeten, sich den Ansar anzuschließen, um die Ungläubigen zu bekämpfen! Dies wird ihn für immer enterben, und er wird die Dynastie niemals mit seiner Dekadenz entehren.;;;x
# soa_heresy_events.txt
EVTOPTD_SOA_4021;Convince [From.GetHerHim] to re-convert;;[From.GetHerHim] davon überzeugen, sich zu bekehren;;;x
EVTOPTC_SOA_4032;Engage [FromFrom.GetObjectPronoun] in theological debate;;[FromFrom.GetObjectPronoun] in eine theologische Debatte verwickeln;;;x
EVTOPTD_SOA_4032;Convince [FromFrom.GetHerHim] to re-convert;;Überzeuge [FromFrom.GetHerHim] zur Umkehr;;;x
EVTOPTA_SOA_4031;I will convert to [From.GetHerHis] [From.Religion.GetName] beliefs!;;Ich werde zu [From.GetHerHis] [From.Religion.GetName] Glauben konvertieren!;;;x
EVTOPTB_SOA_4031;Ignore [From.GetHerHis] nonsense;;Ignoriere [From.GetHerHis] Unsinn;;;x
EVTOPTF_SOA_4031;What [From.GetSheHe] says makes some sense...;;Was [From.GetSheHe] sagt, ergibt einen gewissen Sinn...;;;x
# soa_pilgrim_events.txt
EVTDESC_SoA_5026;The rain has been pouring down for days, it's almost impossible to travel the roads. Why does [Root.GetRandomGodName] punish His faithful pilgrims so?;;Seit Tagen regnet es in Strömen, es ist fast unmöglich, die Straßen zu befahren. Warum bestraft [Root.GetRandomGodName] seine treuen Pilger so?;;;x
EVTOPTA_SoA_5039;[Root.Religion.GetRandomGodNameCap] is showing me the way.;;[Root.Religion.GetRandomGodNameCap] zeigt mir den Weg.;;;x
EVTDESC_SoA_5056;As you walk around on this holy ground, you ponder the secrets and the essence of [Root.Religion.GetHighGodName]. The teachings of the [Root.Religion.GetName] faith have never felt more relevant to you than right now. Imagine the knowledge contained in the scriptures stored here!;;Während Ihr auf diesem heiligen Boden umherwandert, denkt Ihr über die Geheimnisse und das Wesen von [Root.Religion.GetHighGodName] nach. Die Lehren des [Root.Religion.GetName]-Glaubens haben sich für dich noch nie so relevant angefühlt wie in diesem Moment. Stellen Sie sich das Wissen vor, das in den hier gespeicherten Schriften enthalten ist!;;;x
EVTOPTA_SoA_5056;The way to [Root.Religion.GetHighGodName] is through study.;;Der Weg zu [Root.Religion.GetHighGodName] führt über das Studium.;;;x
EVTDESC_SoA_5057;The scriptures, the buildings, this holy ground, how it all moves my soul! I realize now that all my life up to this point has only been a preparation for this journey. How wondrous that the light of [Root.Religion.GetHighGodName] truly shines in me, a humble servant. From now on I shall always do His work.;;Die Schriften, die Gebäude, dieser heilige Boden, wie sehr das alles meine Seele bewegt! Ich erkenne jetzt, dass mein ganzes bisheriges Leben nur eine Vorbereitung auf diese Reise war. Wie wundersam, dass das Licht von [Root.Religion.GetHighGodName] wirklich in mir, einem demütigen Diener, leuchtet. Von nun an werde ich immer Sein Werk tun.;;;x
EVTDESC_SoA_5061;The stories of other pilgrims all spoke of how impressive this place is. Now that you can see it with your own eyes, you can only join in their praise. You are glad that you came here, to one of the [Root.Religion.GetName] faith's most holy places.;;Die Geschichten der anderen Pilger sprachen alle davon, wie beeindruckend dieser Ort ist. Jetzt, wo du ihn mit eigenen Augen sehen kannst, kannst du dich ihrem Lob nur anschließen. Ihr seid froh, dass Ihr hierher gekommen seid, zu einem der heiligsten Orte des [Root.Religion.GetName]-Glaubens.;;;x
EVTDESC_SoA_5064;Near the holy sites, you hear rumors of a group of [Root.Religion.GetPriestTitle]s with strange cures for diseases. Eagerly, you seek them out, hoping against hope that they may aid you. Once in their care you are fed strange potions, foods and herbs. You are unconscious or delirious during most of the process and remember few details, but at last you wake up to find that you have been miraculously healed of your ills.;;In der Nähe der heiligen Stätten hört Ihr Gerüchte über eine Gruppe von [Root.Religion.GetPriestTitle]s mit seltsamen Heilmitteln für Krankheiten. Ihr sucht sie eifrig auf und hofft inständig, dass sie euch helfen können. In ihrer Obhut erhältst du seltsame Tränke, Speisen und Kräuter. Die meiste Zeit des Prozesses bist du bewusstlos oder im Delirium und erinnerst dich nur an wenige Details, aber am Ende wachst du auf und stellst fest, dass du auf wundersame Weise von deinen Krankheiten geheilt wurdest.;;;x
EVTOPTA_SoA_5064;[Root.Religion.GetHighGodName]'s hand touched me and healed me.;;Die Hand von [Root.Religion.GetHighGodName] hat mich berührt und mich geheilt.;;;x
EVTOPTB_SoA_5064;These [Root.Religion.GetPriestTitle]s really know their stuff.;;Diese [Root.Religion.GetPriestTitle]s kennen sich wirklich aus.;;;x
EVTDESC_SoA_5080;Blasphemous fools! Do they not know that [Root.Religion.GetRandomGodName] speaks to them? How dare they throw you out of your own temple!;;Blasphemische Narren! Wissen sie nicht, dass [Root.Religion.GetRandomGodName] zu ihnen spricht? Wie können sie es wagen, Euch aus Eurem eigenen Tempel zu werfen!;;;x
# soa_misc_religious_events.txt
EVTDESC_SoA_5229_waldensian;The Waldensian faith says that relics are for fools, worthless trinkets who lure idolaters away from God. What should be done with your family's relic?;;Der waldensische Glaube besagt, dass Reliquien für Narren sind, wertlose Schmuckstücke, die Götzendiener von Gott weg locken. Was soll mit der Reliquie Ihrer Familie geschehen?;;;x
EVTOPTD_SoA_5229;Destroy it;;Zerstören Sie sie;;;x
# oldgods_rebels_events.txt
EVTDESC_TOG_1033;The [From.Religion.GetName] revolt is over, and now your attention turns to where it started: in [From.GetName]. While the leaders of the revolt have been dealt with, [From.GetName] still teems with [From.Religion.GetName] heretics, and if they are not dealt with, another revolt is all but guaranteed to eventually follow the last.;;Der Aufstand von [From.Religion.GetName] ist vorbei, und nun wendet sich Ihre Aufmerksamkeit dorthin, wo er begann: in [From.GetName]. Während die Anführer der Revolte beseitigt wurden, wimmelt es in [From.GetName] immer noch von [From.Religion.GetName]-Ketzern, und wenn sie nicht beseitigt werden, ist eine weitere Revolte nach der letzten so gut wie garantiert.;;;x
EVTOPTA_TOG_1033;Teach the heretics a lesson they won't forget;;Erteile den Ketzern eine Lektion, die sie nicht vergessen werden;;;x
EVTOPTB_TOG_1033;Do whatever it takes to convert them;;Tun Sie alles, was nötig ist, um sie zu bekehren;;;x
EVTOPTC_TOG_1033;I will find a less violent way;;Ich werde einen weniger gewaltsamen Weg finden;;;x
EVTDESC_TOG_1053;The [From.Culture.GetName] revolt is over, and now your attention turns to where it started: in [From.GetName]. While the leaders of the revolt have been dealt with, [From.GetName] still teems with [From.Culture.GetName] nationalists, and if they are not dealt with, another revolt is all but guaranteed to eventually follow the last.;;Der Aufstand in [From.Culture.GetName] ist vorbei, und nun wendet sich Ihre Aufmerksamkeit dorthin, wo er begann: in [From.GetName]. Während die Anführer der Revolte beseitigt wurden, wimmelt es in [From.GetName] immer noch von [From.Culture.GetName]-Nationalisten, und wenn sie nicht beseitigt werden, ist eine weitere Revolte nach der letzten so gut wie garantiert.;;;x
EVTOPTA_TOG_1053;Teach the [From.Culture.GetName] peasants a lesson they won't forget;;Erteile den [From.Culture.GetName]-Bauern eine Lektion, die sie nicht vergessen werden;;;x
EVTOPTB_TOG_1053;They will act [Root.Culture.GetName], or face the consequences;;Sie werden handeln [Root.Culture.GetName], oder die Konsequenzen tragen;;;x
EVTOPTC_TOG_1053;I will find a less violent way;;Ich werde einen weniger gewaltsamen Weg finden;;;x
EVTDESC_TOG_1073;The [From.Religion.GetName] revolt is over, and now your attention turns to where it started: in [From.GetName]. While the leaders of the revolt have been dealt with, [From.GetName] still teems with [From.Religion.GetName] fanatics, and if they are not dealt with, another revolt is all but guaranteed to eventually follow the last.;;Der Aufstand von [From.Religion.GetName] ist vorbei, und nun wendet sich Ihre Aufmerksamkeit dorthin, wo er begann: in [From.GetName]. Während die Anführer der Revolte beseitigt wurden, wimmelt es in [From.GetName] immer noch von [From.Religion.GetName]-Fanatikern, und wenn sie nicht beseitigt werden, ist eine weitere Revolte nach der letzten so gut wie garantiert.;;;x
EVTOPTA_TOG_1073;Teach the [From.Religion.GetName] fanatics a lesson they won't forget;;Erteilen Sie den [From.Religion.GetName]-Fanatikern eine Lektion, die sie nicht vergessen werden;;;x
EVTOPTB_TOG_1073;Do whatever it takes to convert them;;Tu alles, was nötig ist, um sie zu bekehren;;;x
EVTOPTC_TOG_1073;I will find a less violent way;;Ich werde einen weniger gewaltsamen Weg finden;;;x
EVTDESC_TOG_1042;The people of [revolt_location.GetName] are unhappy under [revolt_top_liege.GetTitledFirstNameNoRegnal]'s rule, and now a [nationalist_revolt_leader.Culture.GetName] man by the name of [nationalist_revolt_leader.GetFullName] has arisen to lead them in revolt. His agents have approached you, and asked that you lead him and all of [revolt_kingdom.GetName] to freedom from its oppressors.;;Das Volk von [revolt_location.GetName] ist unglücklich unter der Herrschaft von [revolt_top_liege.GetTitledFirstNameNoRegnal], und nun ist ein Mann namens [nationalist_revolt_leader.Culture.GetName] aufgetaucht, um sie in den Aufstand zu führen. Seine Agenten haben sich an Euch gewandt und darum gebeten, dass Ihr ihn und ganz [revolt_kingdom.GetName] in die Freiheit von seinen Unterdrückern führt.;;;x
EVTOPTA_TOG_1042;Yes, I will lead this revolt;;Ja, ich werde diese Revolte anführen.;;;x
EVTOPTB_TOG_1042;What? No, this is madness!;;Wie bitte? Nein, das ist Wahnsinn!;;;x
EVTDESC_TOG_1043A;A [nationalist_revolt_leader.Culture.GetName] man by the name of [nationalist_revolt_leader.GetFullName] has arisen in [revolt_location.GetName] to lead the people in revolt against their [revolt_top_liege.Culture.GetName] [revolt_top_liege.PrimaryTitle.GetRulerTitle]. He has asked you to join his cause, to help free all of [revolt_kingdom.GetName] from its oppressors.;;Ein [nationalist_revolt_leader.Culture.GetName] mit dem Namen [nationalist_revolt_leader.GetFullName] hat sich in [revolt_location.GetName] erhoben, um das Volk in die Revolte gegen seine [revolt_top_liege.Culture.GetName] [revolt_top_liege.PrimaryTitle.GetRulerTitle] zu führen. Er hat Euch gebeten, Euch seiner Sache anzuschließen, um ganz [revolt_kingdom.GetName] von seinen Unterdrückern zu befreien.;;;x
EVTDESC_TOG_1043B;A [nationalist_revolt_leader.Culture.GetName] man by the name of [nationalist_revolt_leader.GetFullName] has arisen in [revolt_location.GetName] in revolt against his [revolt_top_liege.Culture.GetName] [revolt_top_liege.PrimaryTitle.GetRulerTitle], and has convinced [leading_revolt.GetBestName] to lead [leading_revolt.GetHerHis] cause. [leading_revolt.GetTitledFirstNameNoRegnal] has asked that you join the revolt, and help lead [revolt_kingdom.GetName] to freedom.;;Ein [nationalist_revolt_leader.Culture.GetName] namens [nationalist_revolt_leader.GetFullName] hat sich in [revolt_location.GetName] in Aufruhr gegen seinen [revolt_top_liege.Culture.GetName] [revolt_top_liege.PrimaryTitle.GetRulerTitle] erhoben und hat [leading_revolt.GetBestName] davon überzeugt, [leading_revolt.GetHerHis] zu führen. [leading_revolt.GetTitledFirstNameNoRegnal] hat Euch gebeten, Euch der Revolte anzuschließen und dabei zu helfen, [revolt_kingdom.GetName] in die Freiheit zu führen.;;;x
EVTOPTA_TOG_1043;I will join this revolt;;Ich werde mich dieser Revolte anschließen;;;x
EVTDESC_TOG_1044A;The people of [revolt_location.GetName] are unhappy under [revolt_top_liege.GetTitledFirstNameNoRegnal]'s rule, and now a [nationalist_revolt_leader.Culture.GetName] man by the name of [nationalist_revolt_leader.GetFullName] has arisen to lead them in revolt. He intends to lead all of [revolt_kingdom.GetName] to freedom from its oppressors.;;Das Volk von [revolt_location.GetName] ist unzufrieden mit der Herrschaft von [revolt_top_liege.GetTitledFirstNameNoRegnal], und nun ist ein Mann namens [nationalist_revolt_leader.Culture.GetName] aufgetaucht, um sie in die Revolte zu führen. Er beabsichtigt, ganz [revolt_kingdom.GetName] in die Freiheit von seinen Unterdrückern zu führen.;;;x
EVTDESC_TOG_1044B;The people of [revolt_location.GetName] are unhappy under [revolt_top_liege.GetTitledFirstNameNoRegnal]'s rule, and now a [nationalist_revolt_leader.Culture.GetName] man by the name of [nationalist_revolt_leader.GetFullName] has arisen to lead them in revolt...and has convinced [leading_revolt.GetTitledName] to join his cause. Together they intend to free all of [revolt_kingdom.GetName] from its oppressors.;;Das Volk von [revolt_location.GetName] ist unglücklich unter der Herrschaft von [revolt_top_liege.GetTitledFirstNameNoRegnal], und nun ist ein Mann namens [nationalist_revolt_leader.Culture.GetName] aufgetaucht, um sie in den Aufstand zu führen ... und hat [leading_revolt.GetTitledName] überzeugt, sich seiner Sache anzuschließen. Gemeinsam wollen sie ganz [revolt_kingdom.GetName] von seinen Unterdrückern befreien.;;;x
EVTDESC_TOG_1080;[Root.Religion.GetName] rebels have risen up in [Root.GetName], led by a man by the name of [revolt_leader.GetFirstName] who has decried the decadence of the [Root.Owner.TopLiege.GetOnlyDynastyName] dynasty. If not swiftly crushed, this revolt could spread like wildfire!;;In [Root.Religion.GetName] haben sich Rebellen erhoben, angeführt von einem Mann namens [revolt_leader.GetFirstName], der die Dekadenz der Dynastie [Root.Owner.TopLiege.GetOnlyDynastyName] beklagt. Wenn diese Revolte nicht schnell niedergeschlagen wird, könnte sie sich wie ein Lauffeuer ausbreiten!;;;x
EVTDESC_TOG_1081;[From.Religion.GetName] rebels have risen up in [From.GetName], led by a man by the name of [revolt_leader.GetFirstName] who has decried the decadence of the [From.Owner.TopLiege.GetOnlyDynastyName] dynasty. If not swiftly crushed, this revolt could spread like wildfire!;;Die [From.Religion.GetName] Rebellen haben sich in [From.GetName] erhoben, angeführt von einem Mann namens [revolt_leader.GetFirstName], der die Dekadenz der [From.Owner.TopLiege.GetOnlyDynastyName]-Dynastie angeprangert hat. Wenn diese Revolte nicht schnell niedergeschlagen wird, könnte sie sich wie ein Lauffeuer ausbreiten!;;;x
EVTDESC_TOG_1090;Prompted by the revolt against the decadence [Root.Owner.TopLiege.GetOnlyDynastyName] dynasty, another raving mob of rebels has arisen in [Root.GetName] to reinforce the uprising!;;Ausgelöst durch den Aufstand gegen die dekadente [Root.Owner.TopLiege.GetOnlyDynastyName]-Dynastie hat sich in [Root.GetName] ein weiterer rasender Haufen von Rebellen gebildet, um den Aufstand zu verstärken!;;;x
EVTDESC_TOG_1091;Prompted by the revolt against the decadence [From.Owner.TopLiege.GetOnlyDynastyName] dynasty, another raving mob of rebels has arisen in [From.GetName] to reinforce the uprising!;;Ausgelöst durch den Aufstand gegen die dekadente [From.Owner.TopLiege.GetOnlyDynastyName]-Dynastie hat sich in [From.GetName] ein weiterer rasender Haufen von Rebellen gebildet, um den Aufstand zu verstärken!;;;x
# oldgods_culture_conversion.txt
EVTDESC_TOG_2005;The people of [Root.GetName] have developed their language and customs to a point where they may now be considered part of a distinct branch of Norse culture. They have begun to refer to themselves as Icelandic.;;Das Volk von [Root.GetName] hat seine Sprache und seine Bräuche so weit entwickelt, dass es heute als Teil eines eigenen Zweigs der nordischen Kultur betrachtet werden kann. Sie haben begonnen, sich als Isländer zu bezeichnen.;;;x
EVTOPTA_TOG_2005;What will they think of next, I wonder.;;Ich frage mich, was ihnen als Nächstes einfallen wird.;;;x
EVTOPTB_TOG_2005;Welcome into the fold, my Icelandic brothers and sisters.;;Willkommen in der Herde, meine isländischen Brüder und Schwestern.;;;x
# oldgods_various_events.txt
EVTOPTA_TOG_3008;Yes... yes. I just need a moment to collect my wits.;;Ja... ja. Ich brauche nur einen Moment, um meinen Verstand zu sammeln.;;;x
EVTDESC_TOG_3100;Varangian raiders sailing from the distant north down the rivers leading into the Black Sea have proven themselves to be formidable warriors. You have managed to recruit a great many of their number into a personal guard loyal only to the [Root.GetTitle].\n\nThis new Varangian Guard will not only form a powerful shock force against the Empire's many enemies, but their foreign roots should also preclude them from becoming too entangled in the palace intrigue and power struggles that are so commonplace in the court.;;Die varangischen Plünderer, die aus dem fernen Norden die Flüsse hinunter ins Schwarze Meer segeln, haben sich als furchtbare Krieger erwiesen. Ihr habt es geschafft, viele von ihnen zu einer persönlichen Garde zu rekrutieren, die nur dem [Root.GetTitle] gegenüber loyal ist. Diese neue varangische Garde wird nicht nur eine mächtige Stoßtruppe gegen die vielen Feinde des Reiches bilden, sondern ihre ausländischen Wurzeln sollten auch verhindern, dass sie zu sehr in die Intrigen und Machtkämpfe des Palastes verwickelt werden, die am Hof so üblich sind.;;;x
EVTOPTA_TOG_3100;They shall serve me well.;;Sie werden mir gute Dienste leisten.;;;x
EVTDESC_TOG_3101;[From.GetFirstName] is distraught over the poor mettle of his countrymen. Knowing well our skill in battle, he has decided to form a bodyguard consisting solely of Norse warriors.\n\nThose who serve him in the great city of Miklagård are generously rewarded, and even now many of our young men, eager for riches and adventure, have departed for Greece to pick up his banner.;;[From.GetFirstName] ist verzweifelt über die schwache Leistung seiner Landsleute. Da er unsere Fähigkeiten im Kampf gut kennt, hat er beschlossen, eine Leibwache zu bilden, die ausschließlich aus nordischen Kriegern besteht. Diejenigen, die ihm in der großen Stadt Miklagård dienen, werden großzügig belohnt, und schon jetzt sind viele unserer jungen Männer, die nach Reichtum und Abenteuer gieren, nach Griechenland aufgebrochen, um sein Banner zu übernehmen.;;;x
EVTDESC_TOG_3320B;The pillaging and looting undertaken in your name has earned you a reputation as a fearsome raider. All along the coasts of Europe, mothers tucking their children in for the night warn that unless they behave, the terrible [Root.GetFirstName], will come with his undead warriors and eat them.;;Die in deinem Namen durchgeführten Plünderungen und Brandschatzungen haben dir den Ruf eines furchterregenden Räubers eingebracht. Überall an den Küsten Europas warnen Mütter, die ihre Kinder ins Bett bringen, dass der schreckliche [Root.GetFirstName] mit seinen untoten Kriegern kommen und sie fressen wird, wenn sie sich nicht benehmen.;;;x
# wol_lover_events.txt
EVTDESC_WOL_1107;[FromFrom.GetTitledFirstNameNoRegnal] has avoided me for some time now, and the rare occasions when we meet have turned from the nights of passion I remember to evenings of arguments and disagreement. It did not come as a shock when [FromFrom.GetSubjectPronoun] told me [FromFrom.GetSubjectPronoun] no longer loves me, but it hurt more than I thought it would.;;[FromFrom.GetTitledFirstNameNoRegnal] geht mir schon seit einiger Zeit aus dem Weg, und die seltenen Gelegenheiten, bei denen wir uns treffen, haben sich von den leidenschaftlichen Nächten, an die ich mich erinnere, in Abende mit Streit und Meinungsverschiedenheiten verwandelt. Es war kein Schock für mich, als [FromFrom.GetSubjectPronoun] mir mitteilte, dass [FromFrom.GetSubjectPronoun] mich nicht mehr liebt, aber es tat mehr weh, als ich dachte.;;;x
# wol_intrigue_events.txt
EVTDESC_WOL_2071;My spies have revealed that [target_spy_on.GetTitledName] is behind a plot to [From.GetPlot]. They intercepted a message between [From.GetHerHim] and one of [From.GetHerHis] supporters, so I have proof of their plan in my very hands.;;Meine Spione haben aufgedeckt, dass [target_spy_on.GetTitledName] hinter einem Komplott gegen [From.GetPlot] steckt. Sie haben eine Nachricht zwischen [From.GetHerHim] und einem von [From.GetHerHis] Anhängern abgefangen, so dass ich den Beweis für ihren Plan in den Händen halte.;;;x
EVTDESC_WOL_2071_B;My spies have revealed that [target_spy_on.GetTitledName] is part of a plot to [From.GetPlot], led by [From.GetTitledName]. They intercepted a message between the two, so I have proof of their plan in my very hands.;;Meine Spione haben aufgedeckt, dass [target_spy_on.GetTitledName] Teil einer Verschwörung gegen [From.GetPlot] ist, angeführt von [From.GetTitledName]. Sie haben eine Nachricht zwischen den beiden abgefangen, so dass ich den Beweis für ihren Plan selbst in Händen halte.;;;x
EVTDESC_WOL_2071_C;My spies have revealed that [target_spy_on.GetTitledName] is part of a plot to [From.GetPlot] -- namely myself!;;Meine Spione haben aufgedeckt, dass [target_spy_on.GetTitledName] Teil einer Verschwörung gegen [From.GetPlot] ist - nämlich gegen mich selbst!;;;x
EVTOPTA_WOL_2071;I shall keep this information to myself;;Ich werde diese Information für mich behalten.;;;x
EVTOPTC_WOL_2071;Attempt to blackmail [From.GetTitledFirstName];;Versuch der Erpressung von [From.GetTitledFirstName];;;x
EVTOPTD_WOL_2071;Quietly let [From.PlotTarget.GetTitledFirstName] know of the plot;;Lasst [From.PlotTarget.GetTitledFirstName] leise von dem Komplott wissen;;;x
EVTDESC_WOL_2072;My [Root.GetLordLady],\nI have come into some information which I believe may be of use to you, namely that [FromFrom.GetTitledFirstName] has engineered a plot against your person. Be advised, and act accordingly.\n\nYours in trust,\n[From.GetTitledName];;Meine [Root.GetLordLady],\n Ich habe Informationen erhalten, von denen ich glaube, dass sie Euch von Nutzen sein könnten, nämlich dass [FromFrom.GetTitledFirstName] ein Komplott gegen Eure Person ausgeheckt hat. Seid gewarnt und handelt entsprechend.\n\nIhr im Vertrauen,\n[From.GetTitledName];;;x
EVTOPTA_WOL_2072;How kind of [From.GetHerHim] to tell me;;Wie nett von [From.GetHerHim], mir zu sagen.;;;x
EVTDESC_WOL_2100_DEVIANT;The most notable thing my spies have reported about [target_spy_on.GetTitledFirstNameNoRegnal] is [target_spy_on.GetHerHis] rather deviant sexual tastes. While it's not as if no-one knows of this, it would be a simple matter to enflame the rumors and ruin [target_spy_on.GetHerHis] reputation further.;;Das Bemerkenswerteste, was meine Spione über [target_spy_on.GetTitledFirstNameNoRegnal] berichtet haben, sind [target_spy_on.GetHerHis] ziemlich abweichende sexuelle Vorlieben. Es ist zwar nicht so, dass niemand davon weiß, aber es wäre ein Leichtes, die Gerüchte zu schüren und [target_spy_on.GetHerHis] Ruf weiter zu ruinieren.;;;x
EVTDESC_WOL_2100_DRUNK;The most notable thing my spies have reported about [target_spy_on.GetTitledFirstNameNoRegnal] is [target_spy_on.GetHerHis] his over-fondness for drink. Indeed, whispers in the court already call the [target_spy_on.GetManWoman] a drunkard. It would be a simple matter to enflame the rumors and ruin [target_spy_on.GetHerHis] reputation further.;;Das Bemerkenswerteste, was meine Spione über [target_spy_on.GetTitledFirstNameNoRegnal] berichtet haben, ist [target_spy_on.GetHerHis] seine übermäßige Vorliebe für Alkohol. Tatsächlich wird der [target_spy_on.GetManWoman] im Hof bereits als Trunkenbold geflüstert. Es wäre ein Leichtes, die Gerüchte zu entfachen und [target_spy_on.GetHerHis] Ruf weiter zu ruinieren.;;;x
