#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_ALEXIOS;Alexios Komnenos of Trebizond;Alexios Komnenos de Trébizonde;Alexios Komnenos von Trebizond;;Alexios Komnenos de Trebisonda;;;;;;;;;x
BM_SICILY_DESC;Richard the Lionheart and Philippe II Auguste stare daggers at one another across the Channel. Through inheritance, bribery, betrayal, and timely conquest the kings of England have been able to occupy well over half of the lands claimed by the French kings, and stand dangerously close to claiming the French crown. Philippe II, known to history as Auguste (Augustus or 'the August'), the monarch that reversed the English conquests and restored French unity and prestige, seems to be in an impossible position--can you replicate his incredible feats? Elsewhere in the world, the Emperor of the Holy Roman Empire has claimed the Kingdom of Sicily as his birthright--but can he hold it?;Richard the Lionheart and Philippe II Auguste stare daggers at one another across the Channel. Through inheritance, bribery, betrayal, and timely conquest the kings of England have been able to occupy well over half of the lands claimed by the French kings, and stand dangerously close to claiming the French crown. Philippe II, known to history as Auguste (Augustus or 'the August'), the monarch that reversed the English conquests and restored French unity and prestige, seems to be in an impossible position--can you replicate his incredible feats? Elsewhere in the world, the Emperor of the Holy Roman Empire has claimed the Kingdom of Sicily as his birthright--but can he hold it?;"Richard Löwenherz und Philippe II. Auguste stehen sich auf der anderen Seite des Ärmelkanals gegenüber. Durch Erbschaft, Bestechung, Verrat und rechtzeitige Eroberung konnten die englischen Könige weit mehr als die Hälfte der von den französischen Königen beanspruchten Ländereien in Besitz nehmen und stehen gefährlich kurz davor, die französische Krone zu erobern. Philipp II., der als Auguste (Augustus oder ""der August"") in die Geschichte einging, der Monarch, der die englischen Eroberungen rückgängig machte und die Einheit und das Ansehen Frankreichs wiederherstellte, scheint in einer unmöglichen Lage zu sein - können Sie seine unglaublichen Taten wiederholen? Anderswo in der Welt hat der Kaiser des Heiligen Römischen Reiches das Königreich Sizilien als sein Geburtsrecht beansprucht - aber kann er es halten?";;Ricardo Corazón de León y Felipe II Augusto se miran con recelo a lo largo del Canal. Mediante herencias, sobornos, traiciones y conquistas oportunas, los reyes de Inglaterra han ocupado más de la mitad de las tierras pertenecientes a los reyes Francia, y se encuentran cerca de reclamar la corona Francesa para sí mismos. Felipe II, conocido por la historia como Augusto, el monarca que revirtió las conquistas Inglesas y restauró la unidad y prestigio Francés, parece estar en una posición imposible--Eres capaz de emular sus increíbles hazañas?. En otra parte del mundo, el Emperador del Sacro Imperio Romano reclamó el Reino de Sicilia como su derecho de nacimiento--pero podrá mantenerlo?;;;;;;;;;x
BM_SWEDEN;Magnus IV;Magnus IV;Magnus IV.;;Magnus IV;;;;;;;;;x
BM_SWEDEN_DESC;Magnus IV, by election King of Sweden and by birthright King of Norway, has temporarily united much of Scandinavia under his rule. Unless Magnus proves to be an exceptional King it is unlikely that the union will live beyond him, but there are those who whisper of an Empire of the North, with Magnus I at its head….;Magnus IV, by election King of Sweden and by birthright King of Norway, has temporarily united much of Scandinavia under his rule. Unless Magnus proves to be an exceptional King it is unlikely that the union will live beyond him, but there are those who whisper of an Empire of the North, with Magnus I at its head….;Magnus IV., gewählter König von Schweden und von Geburt an König von Norwegen, hat vorübergehend einen Großteil Skandinaviens unter seiner Herrschaft vereint. Wenn Magnus sich nicht als außergewöhnlicher König erweist, ist es unwahrscheinlich, dass die Union über ihn hinaus Bestand haben wird, aber es gibt Leute, die von einem Reich des Nordens mit Magnus I. an der Spitze flüstern....;;Magnus IV, Rey de Suecia por elección y Rey de Noruega por nacimiento, ha temporariamente unificado gran parte de Escandinavia bajo su dominio. A menos que Magnus pruebe ser un Rey excepcional, es improbable que la unión viva más allá de él, pero hay aquellos que murmuran sobre un Imperio en el Norte, con Magnus I a su cabeza.;;;;;;;;;x
BM_THE_ISLES;King of Dublin and the Isles;Le roi de Dublin et les Îles;König von Dublin und den Inseln;;Rey de Dublin y Las Islas;;;;;;;;;x
BM_THE_ISLES_DESC;Gudrød Crovan, of both Norwegian and Irish descent, has finally succeeded in expanding his Kingdom of Mann and the Isles to include his birthright, the Kingdom of Dublin. The day of the Norwegian conquerors is over, dead with the failure of Harald Hårdråde at Stamford Bridge, but Gudrød Crovan believes in turning back that clock. From his foothold in Dublin, he seeks to expand and name himself Ard Rí ua Éire, High King of Ireland. But Gudrod is not without other troubles. He holds lands that Malcolm Dunkeld calls his own, and the Scottish king will not back down from his own birthright easily.;Gudrød Crovan, of both Norwegian and Irish descent, has finally succeeded in expanding his Kingdom of Mann and the Isles to include his birthright, the Kingdom of Dublin. The day of the Norwegian conquerors is over, dead with the failure of Harald Hårdråde at Stamford Bridge, but Gudrød Crovan believes in turning back that clock. From his foothold in Dublin, he seeks to expand and name himself Ard Rí ua Éire, High King of Ireland. But Gudrod is not without other troubles. He holds lands that Malcolm Dunkeld calls his own, and the Scottish king will not back down from his own birthright easily.;Gudrød Crovan, der sowohl norwegischer als auch irischer Abstammung ist, hat es endlich geschafft, sein Königreich Mann and the Isles um sein Geburtsrecht, das Königreich Dublin, zu erweitern. Die Zeit der norwegischen Eroberer ist mit dem Scheitern von Harald Hårdråde an der Stamford Bridge vorbei, aber Gudrød Crovan glaubt daran, die Uhr zurückzudrehen. Von seinem Stützpunkt in Dublin aus will er expandieren und sich Ard Rí ua Éire, Hochkönig von Irland, nennen. Aber Gudrod hat noch andere Sorgen. Er besitzt Ländereien, die Malcolm Dunkeld sein eigen nennt, und der schottische König wird nicht so leicht von seinem Geburtsrecht abrücken.;;Gudrod Crovan, de ascendencia Noruega e Irlandesa, ha concluido su expansión de su Reino de Mann y las Islas para incluir su derecho de nacimiento, El Reino de Dublin, a sus dominios. Los días de los conquistadores Noruegos han finalizado, muerto con la caída de Harald Hardrade en Stanford Bridge, pero Gudrod Crovan cree en dar vuelta la situación. Desde sus dominions en Dublin, busca expandirse y nombrarse a si mismo Ard Rí ua Éire, Rey de Irlanda. Sin embargo, Gurdod no está libre de problemas. Parte de sus tierras se encuentran contestadas por Malcolm Dunkled que reclama como propias, y el rey Escocés no dará marcha atrás de su derecho de nacimiento fácilmente..;;;;;;;;;x
BM_TURMOIL_IN_THE_EAST;Turmoil in the East;Troubles dans l'est;Aufruhr im Osten;;Problemas en el Este;;;;;;;;;x
BM_TURMOIL_IN_THE_EAST_DESC;The Fourth Crusade has left Byzantium crippled, and its prior vassal states do not fare much better. Three powerful Dukes vie for control of Greece proper, and only one of them are Greek. The hatred between the Latin and Byzantine Empires has not abated, but neither has progress been made toward discovering the final victor in their struggle. Glory and titles are there, for a man--or woman--strong enough to seize them.;The Fourth Crusade has left Byzantium crippled, and its prior vassal states do not fare much better. Three powerful Dukes vie for control of Greece proper, and only one of them are Greek. The hatred between the Latin and Byzantine Empires has not abated, but neither has progress been made toward discovering the final victor in their struggle. Glory and titles are there, for a man--or woman--strong enough to seize them.;Der vierte Kreuzzug hat Byzanz verkrüppelt, und seinen früheren Vasallenstaaten geht es nicht viel besser. Drei mächtige Herzöge wetteifern um die Kontrolle über das eigentliche Griechenland, und nur einer von ihnen ist Grieche. Der Hass zwischen dem lateinischen und dem byzantinischen Reich hat nicht nachgelassen, aber es wurden auch keine Fortschritte bei der Ermittlung des endgültigen Siegers in ihrem Kampf gemacht. Ruhm und Titel sind da, für einen Mann - oder eine Frau -, der/die stark genug ist, sie zu ergreifen.;;La Cuarta Cruzada ha dejado a Bizancio rengo, y a sus ex-estados vasallos no les va mejor tampoco. Tres poderosos Duques luchan por el control de Grecia, y solo uno de ellos es Griego. El odio entre los imperios Latino y Bizantino no ha cesado, pero ninguno ha progresado contra el otro tampoco en su lucha. Gloria y títulos están a la espera, para que un hombre o mujer lo suficientemente fuertes puedan obtenerlos.;;;;;;;;;x
BM_TWO_ERIKS;The War of the Two Eriks;La guerre des deux Erik;Der Krieg der beiden Eriks;;La Guerra de los Dos Eriks;;;;;;;;;x
BM_TWO_ERIKS_DESC;On the death of King Stenkil I, his son Erik ascended the throne of Sweden as Erik II. As soon as the young Erik II ascended the throne, Erik III of Uppland declared a war to place himself, youngest--and bastard--son of King Emundr I, on the throne in a conflict which would come to be known as the War of the Two Eriks. Erik II is Catholic, whereas Erik III is Norse, one of the last living remnants of the old faith. Can Erik III restore the Norse religion and the rule of his house to a land that has abandoned both?;On the death of King Stenkil I, his son Erik ascended the throne of Sweden as Erik II. As soon as the young Erik II ascended the throne, Erik III of Uppland declared a war to place himself, youngest--and bastard--son of King Emundr I, on the throne in a conflict which would come to be known as the War of the Two Eriks. Erik II is Catholic, whereas Erik III is Norse, one of the last living remnants of the old faith. Can Erik III restore the Norse religion and the rule of his house to a land that has abandoned both?;Nach dem Tod von König Stenkil I. bestieg sein Sohn Erik als Erik II. den schwedischen Thron. Kaum hatte der junge Erik II. den Thron bestiegen, erklärte Erik III. von Uppland einen Krieg, um sich selbst, den jüngsten - und unehelichen - Sohn von König Emundr I., auf den Thron zu setzen, ein Konflikt, der als der Krieg der beiden Eriks bekannt werden sollte. Erik II. ist katholisch, während Erik III. nordisch ist, einer der letzten lebenden Überreste des alten Glaubens. Kann Erik III. die nordische Religion und die Herrschaft seines Hauses in einem Land wiederherstellen, das beides aufgegeben hat?;;A la muerte del Rey Stenkil I, su hijo Erik ascendió al trono de Suecia como Erik II. Tan pronto como el joven Erik II subió, Erik III de Uppland, último y bastardo hijo del Rey Emundr I, le declaró la guerra para ponerse a si mismo en el trono en un conflicto que pasaría a conocerse como La Guera de los Dos Eriks. Erik II es Católico, mientras que Erik III es Nórdico, uno de los últimos sobrevivientes de la vieja fe. Podrá Erik III restaurar la religion Nórdica y el gobierno de su casa a una tierra que ha abandonado a ambos?;;;;;;;;;x
BM_MILLENIUM_ERA;A New Millenium;Un nouveaux Millénaire;Ein neues Jahrtausend;;Un Nuevo Milenio;;;;;;;;;x
BM_MILLENIUM_ERA_INFO;Christmas Day, 1000 AD. A period of religious upheaval, as pagan rulers adopt Christianity while struggling to control their subjects, many of whom refuse to abandon the old ways. Istvan I, the King of Hungary has been crowned by the Pope and adopted Christianity, but his people still worship the Sky Father of their steppe heritage. In Scandinavia, Christian kings must balance their new faith with the Norse paganism of the masses. Even Kuchug, Khan of the vast Pecheneg horde, has converted to Christianity. Meanwhile, the Muslim caliphs of Egypt and Spain have concentrated their holdings, but the Umayyad Caliph of Cordoba is threatened by his advisors, who seeks the throne for themselves.;;Weihnachtstag, 1000 nach Christus. Eine Zeit des religiösen Umbruchs, in der heidnische Herrscher das Christentum annehmen und gleichzeitig um die Kontrolle ihrer Untertanen kämpfen, von denen sich viele weigern, die alten Bräuche aufzugeben. Istvan I., der König von Ungarn, wurde vom Papst gekrönt und nahm das Christentum an, aber sein Volk verehrt immer noch den Himmelsvater seines Steppenerbes. In Skandinavien müssen die christlichen Könige ihren neuen Glauben mit dem nordischen Heidentum des Volkes in Einklang bringen. Selbst Kuchug, der Khan der riesigen Pecheneg-Horde, ist zum Christentum übergetreten. In der Zwischenzeit haben die muslimischen Kalifen von Ägypten und Spanien ihre Besitzungen konzentriert, doch der Umayyaden-Kalif von Cordoba wird von seinen Beratern bedroht, die den Thron für sich selbst beanspruchen.;;Navidad, año 1000 D.C. Un período de esplendor Cristiano, donde los soberanos paganos adoptan el Cristianismo mientras luchan por el control de sus súbditos, muchos de los cuales rehúsan abandonar sus viejas costumbres. Istvan I, Rey de Hungría, ha sido coronado por el Papa y adoptado el Cristianismo, pero su pueblo todavía adora al Padre del Cielo. En Escandinavia, Reyes Cristianos deben balancear su nueva fe con el paganismo Nórdico de las masas. Incluso Kuchug, Khan de la vasta horda Pechenega, se ha convertido al cristianismo. Mientras tanto, los califas Musulmanes de Egipto y España han concentrado sus dominions y fortalezas, pero el Califa Umayyad de Cordoba se encuentra amenazado por sus consejeros que buscan el control del trono para sí mismos;;;;;;;;;x
ERA_CHAR_NAME_3030;Seljuk;;Seldschuken;;;;;;;;;;;x
ERA_CHAR_INFO_3030;Merely part of the small tribe of Oghuz Turks, this man would split off from it starting his own Seljuk clan. After settling near Kzyl Orda him and his tribe would convert to Islam. From here they would raid the local Muslims successfully until they became a powerhouse that could even challenge the mighty Roman empire.;;Dieser Mann gehörte lediglich zu dem kleinen Stamm der Oghus-Türken, spaltete sich jedoch von diesem ab und gründete seinen eigenen Seldschukenklan. Nachdem er sich in der Nähe von Kzyl Orda niedergelassen hatte, konvertierten er und sein Stamm zum Islam. Von hier aus überfielen sie erfolgreich die einheimischen Muslime, bis sie zu einer Macht wurden, die sogar das mächtige römische Reich herausfordern konnte.;;Nada más que perteneciente a una pequeña tribu de los Oghuz Turcos, este hombre se distancaría para formar su propio clan Seléucida. Después de asentarse cerca de Kzyl Orda, el y su tribu se convertirían al Islam. Desde allí, saquearían las localidades Musulmanas de manera satisfactoria hasta convertirse en una gran potencia que podría desafiar el Imperio Romano.;;;;;;;;;x
ERA_CHAR_NAME_608;Vladimir the Great;;Wladimir der Große;;Vladimiro el Grande;;;;;;;;;x
ERA_CHAR_INFO_608;Vladimir started life and his rule out as a devout pagan follower. He achieved one successful campaign after another, subduing the Yatvinigians, conquering the Radimichs and even conducting a military campaign against the Volga Bulgars. There was much discimrination towards non-pagans in his rule and Vladimir worried about the potential politicial issues this may eventually lead into. As such he sent out many emissaries to decide which religion to follow, ultimately settling on Christianity after being told of the wonders of Byzantium. He managed to secure an alliance with Basileios the Young and even a marriage with Basileios's younger sister, eventually leading to the foundation of the Varangian Guard.;;Wladimir begann sein Leben und seine Herrschaft als gläubiger Anhänger des Heidentums. Er führte einen erfolgreichen Feldzug nach dem anderen, unterwarf die Jatwiner, eroberte die Radimichs und führte sogar einen Feldzug gegen die Wolgabulgaren. Unter seiner Herrschaft herrschte eine große Abneigung gegenüber Nicht-Heiden, und Wladimir war besorgt über die möglichen politischen Probleme, zu denen dies führen könnte. Daher sandte er viele Abgesandte aus, um zu entscheiden, welcher Religion er folgen sollte, und entschied sich schließlich für das Christentum, nachdem er von den Wundern von Byzanz gehört hatte. Es gelang ihm, ein Bündnis mit Basileios dem Jüngeren und sogar eine Ehe mit dessen jüngerer Schwester zu schließen, was schließlich zur Gründung der Varangianischen Garde führte.;;Vladimir comenzó su vida y reinado como un devoto pagano. Llevó a cabo campaña tras camapaña de manera exitosa, derrotando a los Yatvinigianos, conquistando a los Radimichos e incluso conduciendo una campaña militar contra los Búlgaros del Volga. Había demasiada discriminación hacia los no-paganos durante su reinado y Vladimiro se preocupaba por los posibles problemas políticos que esto podria traer. Como resultado, envió muchos emisarios para decidir que religión seguir, eligiendo la Cristianidad después de haber oído de las maravillas de Bizancio. Se las ingenió para asegurar una alianza con Basileo el Joven e incluso tomó por esposa la pequeña hermana de él, que tuvo como consecuencia la fundación de la Guardia Varenga;;;;;;;;;x
ERA_CHAR_NAME_482;Saint István I;;Der heilige István I.;;San István I;;;;;;;;;x
ERA_CHAR_INFO_482;István has just been crowned by the pope. Although the conversion of the populace to Christianity had begun under the rule of his father, István systematically forced his subjects to convert. As a result of this forced conversion and his new religion many of the realm's lords refused to accept his suzerainty. This would lead into his participation in a series of wars against various tribes, chieftains and even his own uncle Gyula the Younger to establish dominance in the Carpathian Basin. Ultimately he would succeed and firmly establish Christianity in his realm. He even protected the independence of his kingdom against the might of the HRE in 1030, forcing Conrad II to withdraw from Hungary.;;István ist gerade vom Papst gekrönt worden. Obwohl die Bekehrung der Bevölkerung zum Christentum bereits unter der Herrschaft seines Vaters begonnen hatte, zwang István seine Untertanen systematisch zum Übertritt. Infolge dieser Zwangskonversion und seiner neuen Religion weigerten sich viele Herren des Reiches, seine Oberhoheit zu akzeptieren. Dies führte dazu, dass er sich an einer Reihe von Kriegen gegen verschiedene Stämme, Häuptlinge und sogar seinen eigenen Onkel Gyula den Jüngeren beteiligte, um die Vorherrschaft im Karpatenbecken zu erlangen. Letztendlich hatte er Erfolg und konnte das Christentum in seinem Reich fest etablieren. Im Jahr 1030 verteidigte er sogar die Unabhängigkeit seines Königreichs gegen die Macht der HRE und zwang Konrad II. zum Rückzug aus Ungarn.;;István ha sido coronado por el Papa. Aunque la conversión de su pueblo a la Cristianidad había empezado bajo el reinado de su padre, István sistemáticamente forzó a sus súbditos a la conversión. Como esta conversión fue forzada, muchos señores del reino rehusearon a aceptar su gobierno. Esto llevaría a una serie de guerras en contra de varias tribus y jefes, incluso su propio tío Gyula el Joven para establecer el dominio en los Cárpatos. A pesar de todo, terminaría teniendo éxito y establecería un fuerte dominio en su reino. Incluso pudo defender su reino contra el poderoso Sacro Imperio Romano en el 1030, forzando a Conrado II a abandonar Hungría.;;;;;;;;;x
ERA_CHAR_NAME_756;Boleslaw the Brave;;Boleslaw der Tapfere;;Boleslaw el Valiente;;;;;;;;;x
ERA_CHAR_INFO_756;Boleslaw would achieve much in his life, like guaranteeing the independence of his realm from the HRE, unlike Bohemia which was in a similar situation, with cunning diplomacy and wit during the 'Congress of Gniezno'. He would continue to prove a powerful and capable King by further expanding the Polish territory and eventually officially having himself properly coronated sometime around 1025 and becoming the first Polish king.;;Boleslaw hat in seinem Leben viel erreicht, wie z. B. die Unabhängigkeit seines Reiches vom Reich der Mitte, im Gegensatz zu Böhmen, das sich in einer ähnlichen Situation befand, durch kluge Diplomatie und Witz während des Kongresses von Gnesen. Er sollte sich weiterhin als mächtiger und fähiger König erweisen, indem er das polnische Territorium weiter ausbaute und sich schließlich um 1025 offiziell krönen ließ und zum ersten polnischen König wurde.;;Boleslaw conseguiría mucho durante su vida. Garantizó la independencia de su reino respecto al Sacro Imperio Romano, a diferencia de Bohemia que estuvo en una situación similar, con astucia y diplomacia durante El Congreso de Gniezno. Continuaría su vida probando ser un poderoso y capaz Rey para expandir el territorio Polaco y eventualmente acabaría coronándose a si mismo alrededor de 1025 y convirtíendose en el primer Rey Polaco;;;;;;;;;x
ERA_CHAR_NAME_108570;Alfonso the Noble;;Alfonso der Edle;;Alfonso el Noble;;;;;;;;;x
ERA_CHAR_INFO_108570;In 999 at the mere age of three years old Alfonso ascended the throne of Leon after the death of his father. In life he would make great in-roads to reorganizing the Christian kingdoms of Iberia. While the Umayyad to the south were crumbling to internal conflicts he would still face pressures from the Muslim populace. Despite this he pushed slowly into the south until his untimely death to an arrow during a siege in 1028.;;Im Jahr 999 bestieg Alfonso im Alter von nur drei Jahren nach dem Tod seines Vaters den Thron von Leon. Im Laufe seines Lebens sollte er große Fortschritte bei der Reorganisation der christlichen Königreiche Iberiens machen. Während die Umayyaden im Süden an internen Konflikten zerbrachen, sah er sich weiterhin dem Druck der muslimischen Bevölkerung ausgesetzt. Trotzdem drang er langsam in den Süden vor, bis er 1028 während einer Belagerung durch einen Pfeil starb.;;En el año 999, a la mera edad de tres años, Alfonso ascendió al trono de León trás la muerte de su padre. En su vida haría mucho por reorganizar los Reinos Cristianos e Iberia en general. Mientras que los Umayyads al sur se dividían en conflictos internos, el igual recibía presión del pueblo musulmán. A pesar de ello, se las ingenió para empujar lentamente hacia el sur. Finalmente, una flecha en un asedio en 1028 acabó con su vida;;;;;;;;;x
ERA_CHAR_NAME_1716;Basileios the Young;;Basileios der Junge;;Basileo el Joven;;;;;;;;;x
ERA_CHAR_INFO_1716;Rumored to have descended from the great Emperor Basileios the Macedonian this emperor faced many internal struggles. The wealthy military elite in the realm could at any point easily depose him if they so wished. In order to establish himself as the proper emperor of the Romans he personally took the field of battle to subdue rebellions. He did this not alone however, seeking the aid of the recently converted Vladimir of Kiev. The only thing Vladimir seeked in exchange was a marriage to Basileios's younger sister, Anna. Initially hesitant, Basileios accepted and their alliance was firmly established. Eventually the Varangian Guard would be born as a result of this alliance. It is from here Basileios set his eyes on restoring lost lands of the empire.;;Gerüchten zufolge stammte er von dem großen Kaiser Basileios dem Makedonier ab und hatte mit vielen internen Kämpfen zu kämpfen. Die wohlhabende Militärelite des Reiches konnte ihn jederzeit absetzen, wenn sie es wünschte. Um sich als rechtmäßiger Kaiser der Römer zu etablieren, zog er persönlich in die Schlacht, um Aufstände zu unterdrücken. Er tat dies jedoch nicht allein, sondern suchte die Hilfe des kürzlich bekehrten Wladimir von Kiew. Das Einzige, was Wladimir im Gegenzug verlangte, war eine Heirat mit Basileios' jüngerer Schwester Anna. Nach anfänglichem Zögern willigte Basileios ein, und das Bündnis wurde fest geschlossen. Aus diesem Bündnis ging schließlich die Varangische Garde hervor. Von hier aus machte sich Basileios daran, die verlorenen Gebiete des Reiches wiederzuerlangen.;;Rumoreado descendiente del gran Emperador Basilio el Macedonio, este emperador enfrentó muchos conflictos internos. La riqueza militar elitista en el reino tenia la capacidad de despojarlo de sus títulos cuando lo desearan. Para poder asentarse en el trono de manera segura, tomó el mando personal de los ejércitos en el campo de batalla para aplastar las rebeliones. Sin embargo, no actuó solo. Buscó la ayuda del recién convertido Vladimiro de Kiev. La única cosa que Vladimiro buscó como recompensa era un casamiento con la hermana menor de Basilio, Anna. Al principio dudó, pero luego Basileo terminó por aceptar la propuesta y su alianza quedó sellada. Eventualmente la Guardia Varenga nacería como resultado de esta alianza. Desde aquí fue que Basilio se dedicó a restaurar las tierras pérdidas del imperio.;;;;;;;;;x
ERA_CHAR_NAME_122;Harold Godwinson;;Harold Godwinson;;Harald Godwinson;;;;;;;;;x
ERA_CHAR_INFO_122;Harold Godwinson was the last Anglo-Saxon King of England. Upon the death of his predecessor, Edward the Confessor, he hastily had been coronated to become the king of England. However two powers layed claim to his throne, William the Bastard claiming that Edward himself had promised the throne to him after a recent encounter with William and Harold promised to support that claim. The other claim was from King Harald Hardråde of Norway, who had also claimed to be promised the kingship of England from Harthacnut, son on Cnut the Great. Eventually the pressure of both of these invading armies would prove too much for Harald Godwinson, who fell in battle against William.;;Harold Godwinson war der letzte angelsächsische König von England. Nach dem Tod seines Vorgängers, Edward des Bekenners, wurde er in aller Eile zum König von England gekrönt. Zwei Mächte erhoben jedoch Anspruch auf seinen Thron: William der Bastard behauptete, dass Edward selbst ihm nach einer kürzlichen Begegnung mit William den Thron versprochen hatte, und Harold versprach, diesen Anspruch zu unterstützen. Der andere Anspruch stammte von König Harald Hardråde von Norwegen, der ebenfalls behauptete, ihm sei das Königtum von England von Harthacnut, dem Sohn von Knut dem Großen, versprochen worden. Schließlich wurde der Druck dieser beiden Invasionsarmeen zu groß für Harald Godwinson, der in der Schlacht gegen Wilhelm fiel.;;Harold Godwinson fue el último Rey Anglosajón de Inglaterra. A la muerte de su predecesor, Eduardo el Confesor, fue rápidamente coronado Rey de Inglaterra. Sin embargo, dos poderes poserían derechos a su trono, Guillermo el Conquistador declarado que el mismo Eduardo le había prometido el trono luego de un breve encuentro con Guillermo y Harold le había prometido apoyar. El otro provenía del Rey Harald Hardrade de Noruega, quien también decía que le habían prometido el reino de parte de Hardicanuto, hijo de Canuto el Grande. Eventualmente la presión de ambos ejércitos invasores probaría ser demasiado para Harald Godwinso, quien murió en combat econtra Guillermo;;;;;;;;;x
BM_PORTUGAL;Kingdom of Portugal;;Königreich Portugal;;Reino de Portugal;;;;;;;;;x
BM_PORTUGAL_DESC;Following the military success against the Moors at the Battle of Ouriqe young Afonso was proclaimed King of the Portuguese by his soldiers thereby establishing him equal in rank to the other rulers of Iberia. His cousin, Alfonso VII of León, however considers Afonso to be nothing more than a rebel. As the Iberian kingdoms deal with their internal struggles the Almoravid Sultanate in the south is sure to retaliate to the Reconquista.;;Nach dem militärischen Erfolg gegen die Mauren in der Schlacht von Ouriqe wurde der junge Afonso von seinen Soldaten zum König der Portugiesen ausgerufen und damit im Rang den anderen Herrschern Iberiens gleichgestellt. Sein Cousin, Alfonso VII. von León, hält Afonso jedoch nur für einen Rebellen. Während die iberischen Königreiche mit ihren internen Kämpfen beschäftigt sind, ist das Almoraviden-Sultanat im Süden sicher, dass es sich an der Reconquista rächen wird.;;Luego del éxito militar contra los Moros en la Batalla de Ouriga, el joven Alfonso fue proclamado Rey de los Portugueses por sus soldados, estableciéndose de esta manera como un igual frente a los otros soberanos de Iberia. Su primo, Alfonso VII de León, sin embargo, considera a Alfonso un mero rebelde. Mientras los reinos Ibéricos lidian con sus conflictos internos, el Sultanato Almorávida en el sur está listo recuperar el terreno previamente perdido.;;;;;;;;;x
